"county","tract","blockgroup","cbsa20","CountyName","CBSAName20","pop20","afact"
"County code","Tract","Block group","Core-based statistical area code","County name","2020 CBSA name","Total population (2020 Census)","blockgroup-to-cbsa20 allocation factor"
"01005","9503.00","2","21640","Barbour AL","Eufaula, AL-GA",651,1 
"01005","9504.00","1","21640","Barbour AL","Eufaula, AL-GA",704,1 
"01005","9504.00","2","21640","Barbour AL","Eufaula, AL-GA",2171,1 
"01005","9504.00","3","21640","Barbour AL","Eufaula, AL-GA",1123,1 
"01005","9505.00","1","21640","Barbour AL","Eufaula, AL-GA",1120,1 
"01005","9505.00","2","21640","Barbour AL","Eufaula, AL-GA",985,1 
"01005","9505.00","3","21640","Barbour AL","Eufaula, AL-GA",1000,1 
"01005","9506.00","1","21640","Barbour AL","Eufaula, AL-GA",603,1 
"01005","9506.00","2","21640","Barbour AL","Eufaula, AL-GA",1255,1 
"01005","9507.00","1","21640","Barbour AL","Eufaula, AL-GA",704,1 
"01005","9507.00","2","21640","Barbour AL","Eufaula, AL-GA",886,1 
"01005","9508.00","1","21640","Barbour AL","Eufaula, AL-GA",890,1 
"01005","9508.00","2","21640","Barbour AL","Eufaula, AL-GA",1285,1 
"01005","9509.00","1","21640","Barbour AL","Eufaula, AL-GA",1633,1 
"01005","9509.00","2","21640","Barbour AL","Eufaula, AL-GA",2009,1 
"01005","9509.00","3","21640","Barbour AL","Eufaula, AL-GA",996,1 
"01007","0100.01","1","13820","Bibb AL","Birmingham-Hoover, AL",1446,1 
"01007","0100.01","2","13820","Bibb AL","Birmingham-Hoover, AL",1188,1 
"01007","0100.05","1","13820","Bibb AL","Birmingham-Hoover, AL",1109,1 
"01007","0100.05","2","13820","Bibb AL","Birmingham-Hoover, AL",1372,1 
"01007","0100.05","3","13820","Bibb AL","Birmingham-Hoover, AL",1723,1 
"01007","0100.06","1","13820","Bibb AL","Birmingham-Hoover, AL",891,1 
"01007","0100.06","2","13820","Bibb AL","Birmingham-Hoover, AL",837,1 
"01007","0100.07","1","13820","Bibb AL","Birmingham-Hoover, AL",1318,1 
"01007","0100.07","2","13820","Bibb AL","Birmingham-Hoover, AL",1058,1 
"01007","0100.08","1","13820","Bibb AL","Birmingham-Hoover, AL",1421,1 
"01007","0100.08","2","13820","Bibb AL","Birmingham-Hoover, AL",1349,1 
"01007","0100.09","1","13820","Bibb AL","Birmingham-Hoover, AL",1409,1 
"01007","0100.09","2","13820","Bibb AL","Birmingham-Hoover, AL",667,1 
"01007","0100.09","3","13820","Bibb AL","Birmingham-Hoover, AL",399,1 
"01007","0100.10","1","13820","Bibb AL","Birmingham-Hoover, AL",1628,1 
"01007","0100.10","2","13820","Bibb AL","Birmingham-Hoover, AL",1225,1 
"01007","0100.11","1","13820","Bibb AL","Birmingham-Hoover, AL",829,1 
"01007","0100.11","2","13820","Bibb AL","Birmingham-Hoover, AL",2424,1 
"01009","0501.03","1","13820","Blount AL","Birmingham-Hoover, AL",1749,1 
"01009","0501.04","1","13820","Blount AL","Birmingham-Hoover, AL",900,1 
"01009","0501.04","2","13820","Blount AL","Birmingham-Hoover, AL",1136,1 
"01009","0501.05","1","13820","Blount AL","Birmingham-Hoover, AL",1553,1 
"01009","0501.05","2","13820","Blount AL","Birmingham-Hoover, AL",1468,1 
"01009","0501.05","3","13820","Blount AL","Birmingham-Hoover, AL",1448,1 
"01009","0501.05","4","13820","Blount AL","Birmingham-Hoover, AL",1056,1 
"01009","0501.06","1","13820","Blount AL","Birmingham-Hoover, AL",1264,1 
"01009","0501.06","2","13820","Blount AL","Birmingham-Hoover, AL",1759,1 
"01009","0501.07","1","13820","Blount AL","Birmingham-Hoover, AL",1765,1 
"01009","0501.07","2","13820","Blount AL","Birmingham-Hoover, AL",1210,1 
"01009","0502.00","1","13820","Blount AL","Birmingham-Hoover, AL",1847,1 
"01009","0502.00","2","13820","Blount AL","Birmingham-Hoover, AL",2032,1 
"01009","0503.01","1","13820","Blount AL","Birmingham-Hoover, AL",1535,1 
"01009","0503.01","2","13820","Blount AL","Birmingham-Hoover, AL",1345,1 
"01009","0503.02","1","13820","Blount AL","Birmingham-Hoover, AL",1178,1 
"01009","0503.02","2","13820","Blount AL","Birmingham-Hoover, AL",1331,1 
"01009","0504.00","1","13820","Blount AL","Birmingham-Hoover, AL",815,1 
"01009","0504.00","2","13820","Blount AL","Birmingham-Hoover, AL",1652,1 
"01009","0504.00","3","13820","Blount AL","Birmingham-Hoover, AL",1112,1 
"01009","0504.00","4","13820","Blount AL","Birmingham-Hoover, AL",971,1 
"01009","0505.01","1","13820","Blount AL","Birmingham-Hoover, AL",951,1 
"01009","0505.01","2","13820","Blount AL","Birmingham-Hoover, AL",1508,1 
"01009","0505.01","3","13820","Blount AL","Birmingham-Hoover, AL",1813,1 
"01009","0505.02","1","13820","Blount AL","Birmingham-Hoover, AL",827,1 
"01009","0505.02","2","13820","Blount AL","Birmingham-Hoover, AL",1462,1 
"01009","0505.02","3","13820","Blount AL","Birmingham-Hoover, AL",907,1 
"01009","0506.01","1","13820","Blount AL","Birmingham-Hoover, AL",970,1 
"01009","0506.01","2","13820","Blount AL","Birmingham-Hoover, AL",1878,1 
"01009","0506.01","3","13820","Blount AL","Birmingham-Hoover, AL",1318,1 
"01009","0506.03","1","13820","Blount AL","Birmingham-Hoover, AL",1294,1 
"01009","0506.03","2","13820","Blount AL","Birmingham-Hoover, AL",1427,1 
"01009","0506.03","3","13820","Blount AL","Birmingham-Hoover, AL",1286,1 
